t,zone,soc,reachable,num_reachable,req_de_all,min_de_any,n_expected,n_finite
4,308,85,1,1,5.0,5.0,1,1
4,308,90,1,1,5.0,5.0,1,1
4,308,95,1,1,5.0,5.0,1,1
4,308,100,1,1,5.0,5.0,1,1
4,317,0,0,0,10.0,10.0,1,1
4,317,5,0,0,10.0,10.0,1,1
4,317,10,1,1,10.0,10.0,1,1
4,317,15,1,1,10.0,10.0,1,1
4,317,20,1,1,10.0,10.0,1,1
4,317,25,1,1,10.0,10.0,1,1
4,317,30,1,1,10.0,10.0,1,1
4,317,35,1,1,10.0,10.0,1,1
4,317,40,1,1,10.0,10.0,1,1
4,317,45,1,1,10.0,10.0,1,1
4,317,50,1,1,10.0,10.0,1,1
4,317,55,1,1,10.0,10.0,1,1
4,317,60,1,1,10.0,10.0,1,1
4,317,65,1,1,10.0,10.0,1,1
4,317,70,1,1,10.0,10.0,1,1
4,317,75,1,1,10.0,10.0,1,1
4,317,80,1,1,10.0,10.0,1,1
4,317,85,1,1,10.0,10.0,1,1
4,317,90,1,1,10.0,10.0,1,1
4,317,95,1,1,10.0,10.0,1,1
4,317,100,1,1,10.0,10.0,1,1
5,308,0,0,0,5.0,5.0,1,1
5,308,5,1,1,5.0,5.0,1,1
5,308,10,1,1,5.0,5.0,1,1
5,308,15,1,1,5.0,5.0,1,1
5,308,20,1,1,5.0,5.0,1,1
5,308,25,1,1,5.0,5.0,1,1
5,308,30,1,1,5.0,5.0,1,1
5,308,35,1,1,5.0,5.0,1,1
5,308,40,1,1,5.0,5.0,1,1
5,308,45,1,1,5.0,5.0,1,1
5,308,50,1,1,5.0,5.0,1,1
5,308,55,1,1,5.0,5.0,1,1
5,308,60,1,1,5.0,5.0,1,1
5,308,65,1,1,5.0,5.0,1,1
5,308,70,1,1,5.0,5.0,1,1
5,308,75,1,1,5.0,5.0,1,1
5,308,80,1,1,5.0,5.0,1,1
5,308,85,1,1,5.0,5.0,1,1
5,308,90,1,1,5.0,5.0,1,1
5,308,95,1,1,5.0,5.0,1,1
5,308,100,1,1,5.0,5.0,1,1
5,317,0,0,0,10.0,10.0,1,1
5,317,5,0,0,10.0,10.0,1,1
5,317,10,1,1,10.0,10.0,1,1
5,317,15,1,1,10.0,10.0,1,1
5,317,20,1,1,10.0,10.0,1,1
5,317,25,1,1,10.0,10.0,1,1
5,317,30,1,1,10.0,10.0,1,1
5,317,35,1,1,10.0,10.0,1,1
5,317,40,1,1,10.0,10.0,1,1
5,317,45,1,1,10.0,10.0,1,1
5,317,50,1,1,10.0,10.0,1,1
5,317,55,1,1,10.0,10.0,1,1
5,317,60,1,1,10.0,10.0,1,1
5,317,65,1,1,10.0,10.0,1,1
5,317,70,1,1,10.0,10.0,1,1
5,317,75,1,1,10.0,10.0,1,1
5,317,80,1,1,10.0,10.0,1,1
5,317,85,1,1,10.0,10.0,1,1
5,317,90,1,1,10.0,10.0,1,1
5,317,95,1,1,10.0,10.0,1,1
5,317,100,1,1,10.0,10.0,1,1
6,308,0,0,0,5.0,5.0,1,1
6,308,5,1,1,5.0,5.0,1,1
6,308,10,1,1,5.0,5.0,1,1
6,308,15,1,1,5.0,5.0,1,1
6,308,20,1,1,5.0,5.0,1,1
6,308,25,1,1,5.0,5.0,1,1
6,308,30,1,1,5.0,5.0,1,1
6,308,35,1,1,5.0,5.0,1,1
6,308,40,1,1,5.0,5.0,1,1
6,308,45,1,1,5.0,5.0,1,1
6,308,50,1,1,5.0,5.0,1,1
6,308,55,1,1,5.0,5.0,1,1
6,308,60,1,1,5.0,5.0,1,1
6,308,65,1,1,5.0,5.0,1,1
6,308,70,1,1,5.0,5.0,1,1
6,308,75,1,1,5.0,5.0,1,1
6,308,80,1,1,5.0,5.0,1,1
6,308,85,1,1,5.0,5.0,1,1
6,308,90,1,1,5.0,5.0,1,1
6,308,95,1,1,5.0,5.0,1,1
6,308,100,1,1,5.0,5.0,1,1
6,317,0,0,0,10.0,10.0,1,1
6,317,5,0,0,10.0,10.0,1,1
6,317,10,1,1,10.0,10.0,1,1
6,317,15,1,1,10.0,10.0,1,1
6,317,20,1,1,10.0,10.0,1,1
6,317,25,1,1,10.0,10.0,1,1
6,317,30,1,1,10.0,10.0,1,1
6,317,35,1,1,10.0,10.0,1,1
6,317,40,1,1,10.0,10.0,1,1
6,317,45,1,1,10.0,10.0,1,1
6,317,50,1,1,10.0,10.0,1,1
6,317,55,1,1,10.0,10.0,1,1
6,317,60,1,1,10.0,10.0,1,1
6,317,65,1,1,10.0,10.0,1,1
6,317,70,1,1,10.0,10.0,1,1
6,317,75,1,1,10.0,10.0,1,1
6,317,80,1,1,10.0,10.0,1,1
6,317,85,1,1,10.0,10.0,1,1
6,317,90,1,1,10.0,10.0,1,1
6,317,95,1,1,10.0,10.0,1,1
6,317,100,1,1,10.0,10.0,1,1
7,308,0,0,0,5.0,5.0,1,1
7,308,5,1,1,5.0,5.0,1,1
7,308,10,1,1,5.0,5.0,1,1
7,308,15,1,1,5.0,5.0,1,1
7,308,20,1,1,5.0,5.0,1,1
7,308,25,1,1,5.0,5.0,1,1
7,308,30,1,1,5.0,5.0,1,1
7,308,35,1,1,5.0,5.0,1,1
7,308,40,1,1,5.0,5.0,1,1
7,308,45,1,1,5.0,5.0,1,1
7,308,50,1,1,5.0,5.0,1,1
7,308,55,1,1,5.0,5.0,1,1
7,308,60,1,1,5.0,5.0,1,1
7,308,65,1,1,5.0,5.0,1,1
7,308,70,1,1,5.0,5.0,1,1
7,308,75,1,1,5.0,5.0,1,1
7,308,80,1,1,5.0,5.0,1,1
7,308,85,1,1,5.0,5.0,1,1
7,308,90,1,1,5.0,5.0,1,1
7,308,95,1,1,5.0,5.0,1,1
7,308,100,1,1,5.0,5.0,1,1
7,317,0,0,0,10.0,10.0,1,1
7,317,5,0,0,10.0,10.0,1,1
7,317,10,1,1,10.0,10.0,1,1
7,317,15,1,1,10.0,10.0,1,1
7,317,20,1,1,10.0,10.0,1,1
7,317,25,1,1,10.0,10.0,1,1
7,317,30,1,1,10.0,10.0,1,1
7,317,35,1,1,10.0,10.0,1,1
7,317,40,1,1,10.0,10.0,1,1
7,317,45,1,1,10.0,10.0,1,1
7,317,50,1,1,10.0,10.0,1,1
7,317,55,1,1,10.0,10.0,1,1
7,317,60,1,1,10.0,10.0,1,1
7,317,65,1,1,10.0,10.0,1,1
7,317,70,1,1,10.0,10.0,1,1
7,317,75,1,1,10.0,10.0,1,1
7,317,80,1,1,10.0,10.0,1,1
7,317,85,1,1,10.0,10.0,1,1
7,317,90,1,1,10.0,10.0,1,1
7,317,95,1,1,10.0,10.0,1,1
7,317,100,1,1,10.0,10.0,1,1
8,308,0,0,0,5.0,5.0,1,1
8,308,5,1,1,5.0,5.0,1,1
8,308,10,1,1,5.0,5.0,1,1
8,308,15,1,1,5.0,5.0,1,1
8,308,20,1,1,5.0,5.0,1,1
8,308,25,1,1,5.0,5.0,1,1
8,308,30,1,1,5.0,5.0,1,1
8,308,35,1,1,5.0,5.0,1,1
8,308,40,1,1,5.0,5.0,1,1
8,308,45,1,1,5.0,5.0,1,1
8,308,50,1,1,5.0,5.0,1,1
8,308,55,1,1,5.0,5.0,1,1
8,308,60,1,1,5.0,5.0,1,1
8,308,65,1,1,5.0,5.0,1,1
8,308,70,1,1,5.0,5.0,1,1
8,308,75,1,1,5.0,5.0,1,1
8,308,80,1,1,5.0,5.0,1,1
8,308,85,1,1,5.0,5.0,1,1
8,308,90,1,1,5.0,5.0,1,1
8,308,95,1,1,5.0,5.0,1,1
8,308,100,1,1,5.0,5.0,1,1
8,317,0,0,0,10.0,10.0,1,1
8,317,5,0,0,10.0,10.0,1,1
8,317,10,1,1,10.0,10.0,1,1
8,317,15,1,1,10.0,10.0,1,1
8,317,20,1,1,10.0,10.0,1,1
8,317,25,1,1,10.0,10.0,1,1
8,317,30,1,1,10.0,10.0,1,1
8,317,35,1,1,10.0,10.0,1,1
8,317,40,1,1,10.0,10.0,1,1
8,317,45,1,1,10.0,10.0,1,1
8,317,50,1,1,10.0,10.0,1,1
8,317,55,1,1,10.0,10.0,1,1
8,317,60,1,1,10.0,10.0,1,1
8,317,65,1,1,10.0,10.0,1,1
8,317,70,1,1,10.0,10.0,1,1
8,317,75,1,1,10.0,10.0,1,1
8,317,80,1,1,10.0,10.0,1,1
8,317,85,1,1,10.0,10.0,1,1
8,317,90,1,1,10.0,10.0,1,1
8,317,95,1,1,10.0,10.0,1,1
8,317,100,1,1,10.0,10.0,1,1
9,308,0,0,0,5.0,5.0,1,1
9,308,5,1,1,5.0,5.0,1,1
9,308,10,1,1,5.0,5.0,1,1
9,308,15,1,1,5.0,5.0,1,1
9,308,20,1,1,5.0,5.0,1,1
9,308,25,1,1,5.0,5.0,1,1
9,308,30,1,1,5.0,5.0,1,1
9,308,35,1,1,5.0,5.0,1,1
9,308,40,1,1,5.0,5.0,1,1
9,308,45,1,1,5.0,5.0,1,1
9,308,50,1,1,5.0,5.0,1,1
9,308,55,1,1,5.0,5.0,1,1
9,308,60,1,1,5.0,5.0,1,1
9,308,65,1,1,5.0,5.0,1,1
9,308,70,1,1,5.0,5.0,1,1
9,308,75,1,1,5.0,5.0,1,1
9,308,80,1,1,5.0,5.0,1,1
9,308,85,1,1,5.0,5.0,1,1
9,308,90,1,1,5.0,5.0,1,1
9,308,95,1,1,5.0,5.0,1,1
9,308,100,1,1,5.0,5.0,1,1
9,317,0,0,0,10.0,10.0,1,1
9,317,5,0,0,10.0,10.0,1,1
9,317,10,1,1,10.0,10.0,1,1
9,317,15,1,1,10.0,10.0,1,1
9,317,20,1,1,10.0,10.0,1,1
9,317,25,1,1,10.0,10.0,1,1
9,317,30,1,1,10.0,10.0,1,1
9,317,35,1,1,10.0,10.0,1,1
9,317,40,1,1,10.0,10.0,1,1
9,317,45,1,1,10.0,10.0,1,1
9,317,50,1,1,10.0,10.0,1,1
9,317,55,1,1,10.0,10.0,1,1
9,317,60,1,1,10.0,10.0,1,1
9,317,65,1,1,10.0,10.0,1,1
9,317,70,1,1,10.0,10.0,1,1
9,317,75,1,1,10.0,10.0,1,1
9,317,80,1,1,10.0,10.0,1,1
9,317,85,1,1,10.0,10.0,1,1
9,317,90,1,1,10.0,10.0,1,1
9,317,95,1,1,10.0,10.0,1,1
9,317,100,1,1,10.0,10.0,1,1
10,308,0,0,0,5.0,5.0,1,1
10,308,5,1,1,5.0,5.0,1,1
10,308,10,1,1,5.0,5.0,1,1
10,308,15,1,1,5.0,5.0,1,1
10,308,20,1,1,5.0,5.0,1,1
10,308,25,1,1,5.0,5.0,1,1
10,308,30,1,1,5.0,5.0,1,1
10,308,35,1,1,5.0,5.0,1,1
10,308,40,1,1,5.0,5.0,1,1
10,308,45,1,1,5.0,5.0,1,1
10,308,50,1,1,5.0,5.0,1,1
10,308,55,1,1,5.0,5.0,1,1
10,308,60,1,1,5.0,5.0,1,1
10,308,65,1,1,5.0,5.0,1,1
10,308,70,1,1,5.0,5.0,1,1
10,308,75,1,1,5.0,5.0,1,1
10,308,80,1,1,5.0,5.0,1,1
10,308,85,1,1,5.0,5.0,1,1
10,308,90,1,1,5.0,5.0,1,1
10,308,95,1,1,5.0,5.0,1,1
10,308,100,1,1,5.0,5.0,1,1
10,317,0,0,0,10.0,10.0,1,1
10,317,5,0,0,10.0,10.0,1,1
10,317,10,1,1,10.0,10.0,1,1
10,317,15,1,1,10.0,10.0,1,1
10,317,20,1,1,10.0,10.0,1,1
10,317,25,1,1,10.0,10.0,1,1
10,317,30,1,1,10.0,10.0,1,1
10,317,35,1,1,10.0,10.0,1,1
10,317,40,1,1,10.0,10.0,1,1
10,317,45,1,1,10.0,10.0,1,1
10,317,50,1,1,10.0,10.0,1,1
10,317,55,1,1,10.0,10.0,1,1
10,317,60,1,1,10.0,10.0,1,1
10,317,65,1,1,10.0,10.0,1,1
10,317,70,1,1,10.0,10.0,1,1
10,317,75,1,1,10.0,10.0,1,1
10,317,80,1,1,10.0,10.0,1,1
10,317,85,1,1,10.0,10.0,1,1
10,317,90,1,1,10.0,10.0,1,1
10,317,95,1,1,10.0,10.0,1,1
10,317,100,1,1,10.0,10.0,1,1
11,308,0,0,0,5.0,5.0,1,1
11,308,5,1,1,5.0,5.0,1,1
11,308,10,1,1,5.0,5.0,1,1
11,308,15,1,1,5.0,5.0,1,1
11,308,20,1,1,5.0,5.0,1,1
11,308,25,1,1,5.0,5.0,1,1
11,308,30,1,1,5.0,5.0,1,1
11,308,35,1,1,5.0,5.0,1,1
11,308,40,1,1,5.0,5.0,1,1
11,308,45,1,1,5.0,5.0,1,1
11,308,50,1,1,5.0,5.0,1,1
11,308,55,1,1,5.0,5.0,1,1
11,308,60,1,1,5.0,5.0,1,1
11,308,65,1,1,5.0,5.0,1,1
11,308,70,1,1,5.0,5.0,1,1
11,308,75,1,1,5.0,5.0,1,1
11,308,80,1,1,5.0,5.0,1,1
11,308,85,1,1,5.0,5.0,1,1
11,308,90,1,1,5.0,5.0,1,1
11,308,95,1,1,5.0,5.0,1,1
11,308,100,1,1,5.0,5.0,1,1
11,317,0,0,0,10.0,10.0,1,1
11,317,5,0,0,10.0,10.0,1,1
11,317,10,1,1,10.0,10.0,1,1
11,317,15,1,1,10.0,10.0,1,1
11,317,20,1,1,10.0,10.0,1,1
11,317,25,1,1,10.0,10.0,1,1
11,317,30,1,1,10.0,10.0,1,1
11,317,35,1,1,10.0,10.0,1,1
11,317,40,1,1,10.0,10.0,1,1
11,317,45,1,1,10.0,10.0,1,1
11,317,50,1,1,10.0,10.0,1,1
11,317,55,1,1,10.0,10.0,1,1
11,317,60,1,1,10.0,10.0,1,1
11,317,65,1,1,10.0,10.0,1,1
11,317,70,1,1,10.0,10.0,1,1
11,317,75,1,1,10.0,10.0,1,1
11,317,80,1,1,10.0,10.0,1,1
11,317,85,1,1,10.0,10.0,1,1
11,317,90,1,1,10.0,10.0,1,1
11,317,95,1,1,10.0,10.0,1,1
11,317,100,1,1,10.0,10.0,1,1
12,308,0,0,0,5.0,5.0,1,1
12,308,5,1,1,5.0,5.0,1,1
12,308,10,1,1,5.0,5.0,1,1
12,308,15,1,1,5.0,5.0,1,1
12,308,20,1,1,5.0,5.0,1,1
12,308,25,1,1,5.0,5.0,1,1
12,308,30,1,1,5.0,5.0,1,1
12,308,35,1,1,5.0,5.0,1,1
12,308,40,1,1,5.0,5.0,1,1
12,308,45,1,1,5.0,5.0,1,1
12,308,50,1,1,5.0,5.0,1,1
12,308,55,1,1,5.0,5.0,1,1
12,308,60,1,1,5.0,5.0,1,1
12,308,65,1,1,5.0,5.0,1,1
12,308,70,1,1,5.0,5.0,1,1
12,308,75,1,1,5.0,5.0,1,1
12,308,80,1,1,5.0,5.0,1,1
12,308,85,1,1,5.0,5.0,1,1
12,308,90,1,1,5.0,5.0,1,1
12,308,95,1,1,5.0,5.0,1,1
12,308,100,1,1,5.0,5.0,1,1
12,317,0,0,0,10.0,10.0,1,1
12,317,5,0,0,10.0,10.0,1,1
12,317,10,1,1,10.0,10.0,1,1
12,317,15,1,1,10.0,10.0,1,1
12,317,20,1,1,10.0,10.0,1,1
12,317,25,1,1,10.0,10.0,1,1
12,317,30,1,1,10.0,10.0,1,1
12,317,35,1,1,10.0,10.0,1,1
12,317,40,1,1,10.0,10.0,1,1
12,317,45,1,1,10.0,10.0,1,1
12,317,50,1,1,10.0,10.0,1,1
12,317,55,1,1,10.0,10.0,1,1
12,317,60,1,1,10.0,10.0,1,1
12,317,65,1,1,10.0,10.0,1,1
12,317,70,1,1,10.0,10.0,1,1
12,317,75,1,1,10.0,10.0,1,1
12,317,80,1,1,10.0,10.0,1,1
12,317,85,1,1,10.0,10.0,1,1
12,317,90,1,1,10.0,10.0,1,1
12,317,95,1,1,10.0,10.0,1,1
12,317,100,1,1,10.0,10.0,1,1
